Index,wgs_id,run_accession,study_country_concat,simulation_study
776,ERR776,ERR776,Study3,0
777,ERR777,ERR777,Study3,0
778,ERR778,ERR778,Study3,0
779,ERR779,ERR779,Study3,0
780,ERR780,ERR780,Study3,0
781,ERR781,ERR781,Study3,0
782,ERR782,ERR782,Study3,0
783,ERR783,ERR783,Study3,0
784,ERR784,ERR784,Study3,0
785,ERR785,ERR785,Study3,0
786,ERR786,ERR786,Study3,0
787,ERR787,ERR787,Study3,0
788,ERR788,ERR788,Study3,1
789,ERR789,ERR789,Study3,0
790,ERR790,ERR790,Study3,0
791,ERR791,ERR791,Study3,0
792,ERR792,ERR792,Study3,0
793,ERR793,ERR793,Study3,0
794,ERR794,ERR794,Study3,0
795,ERR795,ERR795,Study3,0
796,ERR796,ERR796,Study3,0
797,ERR797,ERR797,Study3,0
798,ERR798,ERR798,Study3,0
799,ERR799,ERR799,Study3,0
800,ERR800,ERR800,Study3,1
801,ERR801,ERR801,Study3,0
802,ERR802,ERR802,Study3,0
803,ERR803,ERR803,Study3,0
804,ERR804,ERR804,Study3,1
805,ERR805,ERR805,Study3,0
806,ERR806,ERR806,Study3,0
807,ERR807,ERR807,Study3,0
808,ERR808,ERR808,Study3,0
809,ERR809,ERR809,Study3,1
810,ERR810,ERR810,Study3,0
811,ERR811,ERR811,Study3,0
812,ERR812,ERR812,Study3,0
813,ERR813,ERR813,Study3,0
814,ERR814,ERR814,Study3,0
815,ERR815,ERR815,Study3,0
816,ERR816,ERR816,Study3,0
817,ERR817,ERR817,Study3,0
818,ERR818,ERR818,Study3,0
819,ERR819,ERR819,Study3,0
820,ERR820,ERR820,Study3,0
821,ERR821,ERR821,Study3,0
822,ERR822,ERR822,Study3,0
823,ERR823,ERR823,Study3,0
824,ERR824,ERR824,Study3,0
825,ERR825,ERR825,Study3,0
826,ERR826,ERR826,Study3,0
827,ERR827,ERR827,Study3,0
828,ERR828,ERR828,Study3,0
829,ERR829,ERR829,Study3,0
830,ERR830,ERR830,Study3,0
831,ERR831,ERR831,Study3,0
832,ERR832,ERR832,Study3,0
833,ERR833,ERR833,Study3,0
834,ERR834,ERR834,Study3,0
835,ERR835,ERR835,Study3,0
836,ERR836,ERR836,Study3,0
837,ERR837,ERR837,Study3,0
838,ERR838,ERR838,Study3,0
839,ERR839,ERR839,Study3,0
840,ERR840,ERR840,Study3,0
841,ERR841,ERR841,Study3,0
842,ERR842,ERR842,Study3,0
843,ERR843,ERR843,Study3,0
844,ERR844,ERR844,Study3,0
845,ERR845,ERR845,Study3,0
846,ERR846,ERR846,Study3,0
847,ERR847,ERR847,Study3,0
848,ERR848,ERR848,Study3,0
849,ERR849,ERR849,Study3,
850,ERR850,ERR850,Study3,0
851,ERR851,ERR851,Study3,0
852,ERR852,ERR852,Study3,0
853,ERR853,ERR853,Study3,0
854,ERR854,ERR854,Study3,0
855,ERR855,ERR855,Study3,0
856,ERR856,ERR856,Study3,0
857,ERR857,ERR857,Study3,0
858,ERR858,ERR858,Study3,0
859,ERR859,ERR859,Study3,0
860,ERR860,ERR860,Study3,1
861,ERR861,ERR861,Study3,0
862,ERR862,ERR862,Study3,0
863,ERR863,ERR863,Study3,0
864,ERR864,ERR864,Study3,0
865,ERR865,ERR865,Study3,0
866,ERR866,ERR866,Study3,0
867,ERR867,ERR867,Study3,0
868,ERR868,ERR868,Study3,0
869,ERR869,ERR869,Study3,1
870,ERR870,ERR870,Study3,0
871,ERR871,ERR871,Study3,0
872,ERR872,ERR872,Study3,0
873,ERR873,ERR873,Study3,0
874,ERR874,ERR874,Study3,0
875,ERR875,ERR875,Study3,0
876,ERR876,ERR876,Study3,0
877,ERR877,ERR877,Study3,0
878,ERR878,ERR878,Study3,0
879,ERR879,ERR879,Study3,0
880,ERR880,ERR880,Study3,0
881,ERR881,ERR881,Study3,0
882,ERR882,ERR882,Study3,0
883,ERR883,ERR883,Study3,0
884,ERR884,ERR884,Study3,1
885,ERR885,ERR885,Study3,0
886,ERR886,ERR886,Study3,0
887,ERR887,ERR887,Study3,0
888,ERR888,ERR888,Study3,0
889,ERR889,ERR889,Study3,1
890,ERR890,ERR890,Study3,0
891,ERR891,ERR891,Study3,0
892,ERR892,ERR892,Study3,0
893,ERR893,ERR893,Study3,0
894,ERR894,ERR894,Study3,0
895,ERR895,ERR895,Study3,0
896,ERR896,ERR896,Study3,
897,ERR897,ERR897,Study3,0
898,ERR898,ERR898,Study3,0
899,ERR899,ERR899,Study3,0
900,ERR900,ERR900,Study3,0
901,ERR901,ERR901,Study3,0
902,ERR902,ERR902,Study3,0
903,ERR903,ERR903,Study3,0
904,ERR904,ERR904,Study3,
905,ERR905,ERR905,Study3,0
906,ERR906,ERR906,Study3,0
907,ERR907,ERR907,Study3,0
908,ERR908,ERR908,Study3,0
909,ERR909,ERR909,Study3,0
910,ERR910,ERR910,Study3,0
911,ERR911,ERR911,Study3,0
912,ERR912,ERR912,Study3,0
913,ERR913,ERR913,Study3,1
914,ERR914,ERR914,Study3,0
915,ERR915,ERR915,Study3,0
916,ERR916,ERR916,Study3,0
917,ERR917,ERR917,Study3,0
918,ERR918,ERR918,Study3,0
919,ERR919,ERR919,Study3,0
920,ERR920,ERR920,Study3,0
921,ERR921,ERR921,Study3,0
922,ERR922,ERR922,Study3,0
923,ERR923,ERR923,Study3,0
924,ERR924,ERR924,Study3,0
925,ERR925,ERR925,Study3,0
926,ERR926,ERR926,Study3,0
927,ERR927,ERR927,Study3,0
928,ERR928,ERR928,Study3,0
929,ERR929,ERR929,Study3,0
930,ERR930,ERR930,Study3,0
931,ERR931,ERR931,Study3,0
932,ERR932,ERR932,Study3,0
933,ERR933,ERR933,Study3,0
934,ERR934,ERR934,Study3,0
935,ERR935,ERR935,Study3,0
936,ERR936,ERR936,Study3,0
937,ERR937,ERR937,Study3,0
938,ERR938,ERR938,Study3,0
939,ERR939,ERR939,Study3,0
940,ERR940,ERR940,Study3,0
941,ERR941,ERR941,Study3,0
942,ERR942,ERR942,Study3,0
943,ERR943,ERR943,Study3,0
944,ERR944,ERR944,Study3,0
945,ERR945,ERR945,Study3,0
946,ERR946,ERR946,Study3,0
947,ERR947,ERR947,Study3,0
948,ERR948,ERR948,Study3,0
949,ERR949,ERR949,Study3,0
950,ERR950,ERR950,Study3,0
951,ERR951,ERR951,Study3,0
952,ERR952,ERR952,Study3,0
953,ERR953,ERR953,Study3,0
954,ERR954,ERR954,Study3,0
955,ERR955,ERR955,Study3,0
956,ERR956,ERR956,Study3,0
957,ERR957,ERR957,Study3,0
958,ERR958,ERR958,Study3,0
959,ERR959,ERR959,Study3,0
960,ERR960,ERR960,Study3,0
961,ERR961,ERR961,Study3,0
962,ERR962,ERR962,Study3,0
963,ERR963,ERR963,Study3,0
964,ERR964,ERR964,Study3,0
965,ERR965,ERR965,Study3,0
966,ERR966,ERR966,Study3,0
967,ERR967,ERR967,Study3,1
968,ERR968,ERR968,Study3,0
969,ERR969,ERR969,Study3,0
970,ERR970,ERR970,Study3,0
971,ERR971,ERR971,Study3,0
972,ERR972,ERR972,Study3,0
973,ERR973,ERR973,Study3,0
974,ERR974,ERR974,Study3,0
975,ERR975,ERR975,Study3,0
976,ERR976,ERR976,Study3,0
977,ERR977,ERR977,Study3,0
978,ERR978,ERR978,Study3,0
979,ERR979,ERR979,Study3,0
980,ERR980,ERR980,Study3,0
981,ERR981,ERR981,Study3,0
982,ERR982,ERR982,Study3,0
983,ERR983,ERR983,Study3,0
984,ERR984,ERR984,Study3,0
985,ERR985,ERR985,Study3,0
986,ERR986,ERR986,Study3,0
987,ERR987,ERR987,Study3,0
988,ERR988,ERR988,Study3,0
989,ERR989,ERR989,Study3,0
990,ERR990,ERR990,Study3,0
991,ERR991,ERR991,Study3,0
992,ERR992,ERR992,Study3,0
993,ERR993,ERR993,Study3,0
994,ERR994,ERR994,Study3,0
995,ERR995,ERR995,Study3,1
996,ERR996,ERR996,Study3,0
997,ERR997,ERR997,Study3,1
998,ERR998,ERR998,Study3,1
999,ERR999,ERR999,Study4,0
1000,ERR1000,ERR1000,Study4,0
1001,ERR1001,ERR1001,Study4,0
1002,ERR1002,ERR1002,Study4,0
1003,ERR1003,ERR1003,Study4,0
1004,ERR1004,ERR1004,Study4,1
1005,ERR1005,ERR1005,Study4,1
1006,ERR1006,ERR1006,Study4,0
1007,ERR1007,ERR1007,Study4,0
1008,ERR1008,ERR1008,Study4,0
1009,ERR1009,ERR1009,Study4,0
1010,ERR1010,ERR1010,Study4,0
1011,ERR1011,ERR1011,Study4,0
1012,ERR1012,ERR1012,Study4,0
1013,ERR1013,ERR1013,Study4,0
1014,ERR1014,ERR1014,Study4,0
1015,ERR1015,ERR1015,Study4,0
1016,ERR1016,ERR1016,Study4,0
1017,ERR1017,ERR1017,Study4,0
1018,ERR1018,ERR1018,Study4,0
1019,ERR1019,ERR1019,Study4,0
1020,ERR1020,ERR1020,Study4,0
1021,ERR1021,ERR1021,Study4,0
1022,ERR1022,ERR1022,Study4,0
1023,ERR1023,ERR1023,Study4,0
1024,ERR1024,ERR1024,Study4,0
1025,ERR1025,ERR1025,Study4,0
1026,ERR1026,ERR1026,Study4,1
1027,ERR1027,ERR1027,Study4,0
1028,ERR1028,ERR1028,Study4,0
1029,ERR1029,ERR1029,Study4,0
1030,ERR1030,ERR1030,Study4,0
1031,ERR1031,ERR1031,Study4,0
1032,ERR1032,ERR1032,Study4,0
1033,ERR1033,ERR1033,Study4,0
1034,ERR1034,ERR1034,Study4,0
1035,ERR1035,ERR1035,Study4,0
1036,ERR1036,ERR1036,Study4,0
1037,ERR1037,ERR1037,Study4,0
1038,ERR1038,ERR1038,Study4,0
1039,ERR1039,ERR1039,Study4,0
1040,ERR1040,ERR1040,Study4,1
1041,ERR1041,ERR1041,Study4,0
1042,ERR1042,ERR1042,Study4,0
1043,ERR1043,ERR1043,Study4,0
1044,ERR1044,ERR1044,Study4,0
1045,ERR1045,ERR1045,Study4,0
1046,ERR1046,ERR1046,Study4,0
1047,ERR1047,ERR1047,Study4,0
1048,ERR1048,ERR1048,Study4,0
1049,ERR1049,ERR1049,Study4,0
1050,ERR1050,ERR1050,Study4,0
1051,ERR1051,ERR1051,Study4,0
1052,ERR1052,ERR1052,Study4,0
1053,ERR1053,ERR1053,Study4,0
1054,ERR1054,ERR1054,Study4,1
1055,ERR1055,ERR1055,Study4,0
1056,ERR1056,ERR1056,Study4,0
1057,ERR1057,ERR1057,Study4,0
1058,ERR1058,ERR1058,Study4,0
1059,ERR1059,ERR1059,Study4,0
1060,ERR1060,ERR1060,Study4,0
1061,ERR1061,ERR1061,Study4,0
1062,ERR1062,ERR1062,Study4,0
1063,ERR1063,ERR1063,Study4,0
1064,ERR1064,ERR1064,Study4,0
1065,ERR1065,ERR1065,Study4,0
1066,ERR1066,ERR1066,Study4,0
1067,ERR1067,ERR1067,Study4,0
1068,ERR1068,ERR1068,Study4,0
1069,ERR1069,ERR1069,Study4,0
1070,ERR1070,ERR1070,Study4,0
1071,ERR1071,ERR1071,Study4,0
1072,ERR1072,ERR1072,Study4,0
1073,ERR1073,ERR1073,Study4,0
1074,ERR1074,ERR1074,Study4,0
1075,ERR1075,ERR1075,Study4,0
1076,ERR1076,ERR1076,Study4,0
1077,ERR1077,ERR1077,Study4,0
1078,ERR1078,ERR1078,Study4,0
1079,ERR1079,ERR1079,Study4,0
1080,ERR1080,ERR1080,Study4,0
1081,ERR1081,ERR1081,Study4,0
1082,ERR1082,ERR1082,Study4,0
1083,ERR1083,ERR1083,Study4,0
1084,ERR1084,ERR1084,Study4,0
1085,ERR1085,ERR1085,Study4,0
1086,ERR1086,ERR1086,Study4,0
1087,ERR1087,ERR1087,Study4,0
1088,ERR1088,ERR1088,Study4,0
1089,ERR1089,ERR1089,Study4,0
1090,ERR1090,ERR1090,Study4,0
1091,ERR1091,ERR1091,Study4,0
1092,ERR1092,ERR1092,Study4,0
1093,ERR1093,ERR1093,Study4,0
1094,ERR1094,ERR1094,Study4,0
1095,ERR1095,ERR1095,Study4,0
1096,ERR1096,ERR1096,Study4,0
1097,ERR1097,ERR1097,Study4,0
1098,ERR1098,ERR1098,Study4,0
1099,ERR1099,ERR1099,Study4,1
1100,ERR1100,ERR1100,Study4,0
1101,ERR1101,ERR1101,Study4,1
1102,ERR1102,ERR1102,Study4,0
1103,ERR1103,ERR1103,Study4,0
1104,ERR1104,ERR1104,Study4,0
1105,ERR1105,ERR1105,Study4,0
1106,ERR1106,ERR1106,Study4,0
1107,ERR1107,ERR1107,Study4,0
1108,ERR1108,ERR1108,Study4,0
1109,ERR1109,ERR1109,Study4,1
1110,ERR1110,ERR1110,Study4,0
1111,ERR1111,ERR1111,Study4,0
1112,ERR1112,ERR1112,Study4,0
1113,ERR1113,ERR1113,Study4,1
1114,ERR1114,ERR1114,Study4,0
1115,ERR1115,ERR1115,Study4,0
1116,ERR1116,ERR1116,Study4,0
1117,ERR1117,ERR1117,Study4,0
1118,ERR1118,ERR1118,Study4,0
1119,ERR1119,ERR1119,Study4,0
1120,ERR1120,ERR1120,Study4,0
1121,ERR1121,ERR1121,Study4,0
1122,ERR1122,ERR1122,Study4,1
1123,ERR1123,ERR1123,Study4,0
1124,ERR1124,ERR1124,Study4,0
1125,ERR1125,ERR1125,Study4,0
1126,ERR1126,ERR1126,Study4,0
1127,ERR1127,ERR1127,Study4,0
1128,ERR1128,ERR1128,Study4,0
1129,ERR1129,ERR1129,Study4,0
1130,ERR1130,ERR1130,Study4,0
1131,ERR1131,ERR1131,Study4,0
1132,ERR1132,ERR1132,Study4,1
1133,ERR1133,ERR1133,Study4,0
1134,ERR1134,ERR1134,Study4,0
1135,ERR1135,ERR1135,Study4,0
1136,ERR1136,ERR1136,Study4,0
1137,ERR1137,ERR1137,Study4,0
1138,ERR1138,ERR1138,Study4,0
1139,ERR1139,ERR1139,Study4,0
1140,ERR1140,ERR1140,Study4,0
1141,ERR1141,ERR1141,Study4,0
1142,ERR1142,ERR1142,Study4,0
1143,ERR1143,ERR1143,Study4,0
1144,ERR1144,ERR1144,Study4,0
1145,ERR1145,ERR1145,Study4,0
1146,ERR1146,ERR1146,Study4,0
1147,ERR1147,ERR1147,Study4,0
1148,ERR1148,ERR1148,Study4,0
1149,ERR1149,ERR1149,Study4,0
1150,ERR1150,ERR1150,Study4,0
1151,ERR1151,ERR1151,Study4,1
1152,ERR1152,ERR1152,Study4,0
1153,ERR1153,ERR1153,Study4,0
1154,ERR1154,ERR1154,Study4,0
1155,ERR1155,ERR1155,Study4,0
1156,ERR1156,ERR1156,Study4,0
1157,ERR1157,ERR1157,Study4,0
1158,ERR1158,ERR1158,Study4,0
1159,ERR1159,ERR1159,Study4,0
1160,ERR1160,ERR1160,Study4,0
1161,ERR1161,ERR1161,Study4,1
1162,ERR1162,ERR1162,Study4,0
1163,ERR1163,ERR1163,Study4,0
1164,ERR1164,ERR1164,Study4,0
1165,ERR1165,ERR1165,Study4,0
1166,ERR1166,ERR1166,Study4,0
1167,ERR1167,ERR1167,Study4,0
1168,ERR1168,ERR1168,Study4,0
1169,ERR1169,ERR1169,Study4,0
1170,ERR1170,ERR1170,Study4,0
1171,ERR1171,ERR1171,Study4,0
1172,ERR1172,ERR1172,Study4,0
1173,ERR1173,ERR1173,Study4,0
1174,ERR1174,ERR1174,Study4,0
1175,ERR1175,ERR1175,Study4,0
1176,ERR1176,ERR1176,Study4,0
1177,ERR1177,ERR1177,Study4,0
1178,ERR1178,ERR1178,Study4,0
1179,ERR1179,ERR1179,Study4,0
1180,ERR1180,ERR1180,Study4,0
1181,ERR1181,ERR1181,Study4,1
1182,ERR1182,ERR1182,Study4,0
1183,ERR1183,ERR1183,Study4,0
1184,ERR1184,ERR1184,Study4,0
1185,ERR1185,ERR1185,Study4,0
1186,ERR1186,ERR1186,Study4,1
1187,ERR1187,ERR1187,Study4,0
1188,ERR1188,ERR1188,Study4,0
1189,ERR1189,ERR1189,Study4,0
1190,ERR1190,ERR1190,Study4,0
1191,ERR1191,ERR1191,Study4,0
1192,ERR1192,ERR1192,Study4,0
1193,ERR1193,ERR1193,Study4,0
1194,ERR1194,ERR1194,Study4,0
1195,ERR1195,ERR1195,Study4,0
1196,ERR1196,ERR1196,Study4,0
1197,ERR1197,ERR1197,Study4,0
1198,ERR1198,ERR1198,Study4,0
1199,ERR1199,ERR1199,Study4,0
1200,ERR1200,ERR1200,Study4,0
1201,ERR1201,ERR1201,Study4,0
1202,ERR1202,ERR1202,Study4,0
1203,ERR1203,ERR1203,Study4,0
1204,ERR1204,ERR1204,Study4,0
1205,ERR1205,ERR1205,Study4,0
1206,ERR1206,ERR1206,Study4,0
1207,ERR1207,ERR1207,Study4,1
1208,ERR1208,ERR1208,Study4,0
1209,ERR1209,ERR1209,Study4,0
1210,ERR1210,ERR1210,Study4,0
1211,ERR1211,ERR1211,Study4,0
1212,ERR1212,ERR1212,Study4,0
1213,ERR1213,ERR1213,Study4,0
1214,ERR1214,ERR1214,Study4,0
1215,ERR1215,ERR1215,Study4,0
1216,ERR1216,ERR1216,Study4,0
1217,ERR1217,ERR1217,Study4,0
1218,ERR1218,ERR1218,Study4,0
1219,ERR1219,ERR1219,Study4,0
1220,ERR1220,ERR1220,Study4,0
1221,ERR1221,ERR1221,Study4,0
1222,ERR1222,ERR1222,Study4,0
1223,ERR1223,ERR1223,Study4,0
1224,ERR1224,ERR1224,Study4,0
1225,ERR1225,ERR1225,Study4,0
1226,ERR1226,ERR1226,Study4,0
1227,ERR1227,ERR1227,Study4,0
1228,ERR1228,ERR1228,Study4,0
1229,ERR1229,ERR1229,Study4,0
1230,ERR1230,ERR1230,Study4,0
1231,ERR1231,ERR1231,Study4,0
1232,ERR1232,ERR1232,Study4,0
1233,ERR1233,ERR1233,Study4,0
1234,ERR1234,ERR1234,Study4,0
1235,ERR1235,ERR1235,Study4,0
1236,ERR1236,ERR1236,Study4,0
1237,ERR1237,ERR1237,Study4,0
1238,ERR1238,ERR1238,Study4,0
1239,ERR1239,ERR1239,Study4,0
1240,ERR1240,ERR1240,Study4,0
1241,ERR1241,ERR1241,Study4,0
1242,ERR1242,ERR1242,Study4,0
1243,ERR1243,ERR1243,Study4,0
1244,ERR1244,ERR1244,Study4,0
1245,ERR1245,ERR1245,Study4,0
1246,ERR1246,ERR1246,Study4,0
1247,ERR1247,ERR1247,Study4,0
1248,ERR1248,ERR1248,Study4,0
1249,ERR1249,ERR1249,Study4,0
1250,ERR1250,ERR1250,Study4,0
1251,ERR1251,ERR1251,Study4,0
1252,ERR1252,ERR1252,Study4,0
1253,ERR1253,ERR1253,Study4,0
1254,ERR1254,ERR1254,Study4,0
1255,ERR1255,ERR1255,Study4,0
1256,ERR1256,ERR1256,Study4,0
1257,ERR1257,ERR1257,Study4,0
1258,ERR1258,ERR1258,Study4,0
1259,ERR1259,ERR1259,Study4,0
1260,ERR1260,ERR1260,Study4,0
1261,ERR1261,ERR1261,Study4,0
1262,ERR1262,ERR1262,Study4,0
1263,ERR1263,ERR1263,Study4,1
1264,ERR1264,ERR1264,Study4,0
1265,ERR1265,ERR1265,Study4,0
1266,ERR1266,ERR1266,Study4,0
1267,ERR1267,ERR1267,Study4,0
1268,ERR1268,ERR1268,Study4,0
1269,ERR1269,ERR1269,Study4,0
1270,ERR1270,ERR1270,Study4,0
1271,ERR1271,ERR1271,Study4,0
1272,ERR1272,ERR1272,Study4,0
1273,ERR1273,ERR1273,Study4,0
1274,ERR1274,ERR1274,Study4,0
1275,ERR1275,ERR1275,Study4,0
1276,ERR1276,ERR1276,Study4,0
1277,ERR1277,ERR1277,Study4,0
1278,ERR1278,ERR1278,Study4,0
1279,ERR1279,ERR1279,Study4,0
1280,ERR1280,ERR1280,Study4,0
1281,ERR1281,ERR1281,Study4,0
1282,ERR1282,ERR1282,Study4,1
1283,ERR1283,ERR1283,Study4,0
1284,ERR1284,ERR1284,Study4,0
1285,ERR1285,ERR1285,Study4,0
1286,ERR1286,ERR1286,Study4,1
1287,ERR1287,ERR1287,Study4,0
1288,ERR1288,ERR1288,Study4,0
1289,ERR1289,ERR1289,Study4,0
1290,ERR1290,ERR1290,Study4,0
1291,ERR1291,ERR1291,Study4,0
1292,ERR1292,ERR1292,Study4,0
1293,ERR1293,ERR1293,Study4,0
1294,ERR1294,ERR1294,Study4,0
1295,ERR1295,ERR1295,Study4,0
1296,ERR1296,ERR1296,Study4,0
1297,ERR1297,ERR1297,Study4,0
1298,ERR1298,ERR1298,Study4,0
1299,ERR1299,ERR1299,Study4,0
1300,ERR1300,ERR1300,Study4,1
1301,ERR1301,ERR1301,Study4,0
1302,ERR1302,ERR1302,Study4,0
1303,ERR1303,ERR1303,Study4,0
1304,ERR1304,ERR1304,Study4,0
1305,ERR1305,ERR1305,Study4,0
1306,ERR1306,ERR1306,Study4,0
1307,ERR1307,ERR1307,Study4,0
1308,ERR1308,ERR1308,Study4,0
1309,ERR1309,ERR1309,Study4,0
1310,ERR1310,ERR1310,Study4,0
1311,ERR1311,ERR1311,Study4,
1312,ERR1312,ERR1312,Study4,0
1313,ERR1313,ERR1313,Study4,0
1314,ERR1314,ERR1314,Study4,0
1315,ERR1315,ERR1315,Study4,0
1316,ERR1316,ERR1316,Study4,0
1317,ERR1317,ERR1317,Study4,0
1318,ERR1318,ERR1318,Study4,0
1319,ERR1319,ERR1319,Study4,0
1320,ERR1320,ERR1320,Study4,0
1321,ERR1321,ERR1321,Study4,0
1322,ERR1322,ERR1322,Study4,0
1323,ERR1323,ERR1323,Study4,0
1324,ERR1324,ERR1324,Study4,
1325,ERR1325,ERR1325,Study4,0
1326,ERR1326,ERR1326,Study4,0
1327,ERR1327,ERR1327,Study4,0
1328,ERR1328,ERR1328,Study4,0
1329,ERR1329,ERR1329,Study4,0
1330,ERR1330,ERR1330,Study4,0
1331,ERR1331,ERR1331,Study4,1
1332,ERR1332,ERR1332,Study4,0
1333,ERR1333,ERR1333,Study4,0
1334,ERR1334,ERR1334,Study4,0
1335,ERR1335,ERR1335,Study4,0
1336,ERR1336,ERR1336,Study4,0
1337,ERR1337,ERR1337,Study4,0
1338,ERR1338,ERR1338,Study4,1
1339,ERR1339,ERR1339,Study4,0
1340,ERR1340,ERR1340,Study4,0
1341,ERR1341,ERR1341,Study4,0
1342,ERR1342,ERR1342,Study4,0
1343,ERR1343,ERR1343,Study4,0
1344,ERR1344,ERR1344,Study4,1
1345,ERR1345,ERR1345,Study4,0
1346,ERR1346,ERR1346,Study4,0
1347,ERR1347,ERR1347,Study4,0
1348,ERR1348,ERR1348,Study4,0
1349,ERR1349,ERR1349,Study4,1
1350,ERR1350,ERR1350,Study4,0
1351,ERR1351,ERR1351,Study4,0
1352,ERR1352,ERR1352,Study4,0
1353,ERR1353,ERR1353,Study4,0
1354,ERR1354,ERR1354,Study4,0
1355,ERR1355,ERR1355,Study4,0
1356,ERR1356,ERR1356,Study4,0
1357,ERR1357,ERR1357,Study4,0
1358,ERR1358,ERR1358,Study4,0
1359,ERR1359,ERR1359,Study4,0
1360,ERR1360,ERR1360,Study4,0
1361,ERR1361,ERR1361,Study4,0
1362,ERR1362,ERR1362,Study4,0
1363,ERR1363,ERR1363,Study4,0
1364,ERR1364,ERR1364,Study4,0
1365,ERR1365,ERR1365,Study4,0
1366,ERR1366,ERR1366,Study4,0
1367,ERR1367,ERR1367,Study4,0
1368,ERR1368,ERR1368,Study4,0
1369,ERR1369,ERR1369,Study4,0
1370,ERR1370,ERR1370,Study4,0
1371,ERR1371,ERR1371,Study4,0
1372,ERR1372,ERR1372,Study4,0
1373,ERR1373,ERR1373,Study4,0
1374,ERR1374,ERR1374,Study4,0
1375,ERR1375,ERR1375,Study4,0
1376,ERR1376,ERR1376,Study4,0
1377,ERR1377,ERR1377,Study4,0
1378,ERR1378,ERR1378,Study4,0
1379,ERR1379,ERR1379,Study5,0
1380,ERR1380,ERR1380,Study5,0
1381,ERR1381,ERR1381,Study5,0
1382,ERR1382,ERR1382,Study5,0
1383,ERR1383,ERR1383,Study5,
1384,ERR1384,ERR1384,Study5,0
1385,ERR1385,ERR1385,Study5,0
1386,ERR1386,ERR1386,Study5,0
1387,ERR1387,ERR1387,Study5,1
1388,ERR1388,ERR1388,Study5,0
1389,ERR1389,ERR1389,Study5,0
1390,ERR1390,ERR1390,Study5,0
1391,ERR1391,ERR1391,Study5,0
1392,ERR1392,ERR1392,Study5,0
1393,ERR1393,ERR1393,Study5,0
1394,ERR1394,ERR1394,Study5,0
1395,ERR1395,ERR1395,Study5,0
1396,ERR1396,ERR1396,Study5,0
1397,ERR1397,ERR1397,Study5,0
1398,ERR1398,ERR1398,Study5,1
1399,ERR1399,ERR1399,Study5,0
1400,ERR1400,ERR1400,Study5,0
1401,ERR1401,ERR1401,Study5,0
1402,ERR1402,ERR1402,Study5,0
1403,ERR1403,ERR1403,Study5,0
1404,ERR1404,ERR1404,Study5,
1405,ERR1405,ERR1405,Study5,1
1406,ERR1406,ERR1406,Study5,0
1407,ERR1407,ERR1407,Study5,1
1408,ERR1408,ERR1408,Study5,1
1409,ERR1409,ERR1409,Study5,1
1410,ERR1410,ERR1410,Study5,1
1411,ERR1411,ERR1411,Study5,1
1412,ERR1412,ERR1412,Study5,1
1413,ERR1413,ERR1413,Study5,1
1414,ERR1414,ERR1414,Study5,1
1415,ERR1415,ERR1415,Study5,0
1416,ERR1416,ERR1416,Study5,1
1417,ERR1417,ERR1417,Study5,0
1418,ERR1418,ERR1418,Study5,0
1419,ERR1419,ERR1419,Study5,
1420,ERR1420,ERR1420,Study5,0
1421,ERR1421,ERR1421,Study5,
1422,ERR1422,ERR1422,Study5,
1423,ERR1423,ERR1423,Study5,
1424,ERR1424,ERR1424,Study5,0
1425,ERR1425,ERR1425,Study5,
1426,ERR1426,ERR1426,Study5,
1427,ERR1427,ERR1427,Study5,
1428,ERR1428,ERR1428,Study5,
1429,ERR1429,ERR1429,Study5,
1430,ERR1430,ERR1430,Study5,
1431,ERR1431,ERR1431,Study5,
1432,ERR1432,ERR1432,Study5,
1433,ERR1433,ERR1433,Study5,1
1434,ERR1434,ERR1434,Study5,
1435,ERR1435,ERR1435,Study5,
1436,ERR1436,ERR1436,Study5,0
1437,ERR1437,ERR1437,Study5,
1438,ERR1438,ERR1438,Study5,
1439,ERR1439,ERR1439,Study5,
1440,ERR1440,ERR1440,Study5,
1441,ERR1441,ERR1441,Study5,
1442,ERR1442,ERR1442,Study5,
1443,ERR1443,ERR1443,Study5,
1444,ERR1444,ERR1444,Study5,
1445,ERR1445,ERR1445,Study5,
1446,ERR1446,ERR1446,Study5,
1447,ERR1447,ERR1447,Study5,0
1448,ERR1448,ERR1448,Study5,0
1449,ERR1449,ERR1449,Study5,0
1450,ERR1450,ERR1450,Study5,1
1451,ERR1451,ERR1451,Study5,0
1452,ERR1452,ERR1452,Study5,0
1453,ERR1453,ERR1453,Study5,0
1454,ERR1454,ERR1454,Study5,0
1455,ERR1455,ERR1455,Study5,0
1456,ERR1456,ERR1456,Study5,0
1457,ERR1457,ERR1457,Study5,0
1458,ERR1458,ERR1458,Study5,1
1459,ERR1459,ERR1459,Study5,0
1460,ERR1460,ERR1460,Study5,0
1461,ERR1461,ERR1461,Study5,0
1462,ERR1462,ERR1462,Study5,0
1463,ERR1463,ERR1463,Study5,0
1464,ERR1464,ERR1464,Study5,0
1465,ERR1465,ERR1465,Study5,0
1466,ERR1466,ERR1466,Study5,0
1467,ERR1467,ERR1467,Study5,0
1468,ERR1468,ERR1468,Study5,0
1469,ERR1469,ERR1469,Study5,0
1470,ERR1470,ERR1470,Study5,0
1471,ERR1471,ERR1471,Study5,1
1472,ERR1472,ERR1472,Study5,0
1473,ERR1473,ERR1473,Study5,0
